Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Manchester City,32,23,5,4,67,23,+44,74,62.8,24.3,+38.5,+1.20,L W W W L,,İlkay Gündoğan - 12,Ederson,
2,Manchester Utd,31,18,9,4,61,34,+27,63,49.1,36.1,+13.0,+0.42,D W W W W,,Bruno Fernandes - 16,David de Gea,
3,Leicester City,31,17,5,9,55,37,+18,56,45.2,37.8,+7.4,+0.24,D W W L L,,Jamie Vardy - 12,Kasper Schmeichel,
4,West Ham,31,16,7,8,51,39,+12,55,42.6,37.2,+5.4,+0.17,W L D W W,125,Tomáš Souček - 9,Łukasz Fabiański,
5,Chelsea,31,15,9,7,50,31,+19,54,50.9,26.5,+24.4,+0.79,W W D L W,133,Tammy Abraham Mason Mount... - 6,Edouard Mendy,
6,Liverpool,31,15,7,9,53,37,+16,52,56.6,36.7,+19.8,+0.64,L L W W W,375,Mohamed Salah - 19,Alisson,
7,Tottenham,31,14,7,10,52,35,+17,49,42.4,38.3,+4.1,+0.13,W L W D L,133,Harry Kane - 19,Hugo Lloris,
8,Everton,30,14,6,10,41,38,+3,48,36.7,40.7,-4.1,-0.14,W L L D D,133,Dominic Calvert-Lewin - 14,Jordan Pickford,
9,Arsenal,31,13,6,12,43,35,+8,45,43.5,37.6,+5.9,+0.19,D W D L W,133,Alexandre Lacazette - 13,Bernd Leno,
10,Leeds United,31,14,3,14,49,49,0,45,46.2,51.4,-5.1,-0.17,L D W W W,,Patrick Bamford - 14,Illan Meslier,
11,Aston Villa,30,13,5,12,43,33,+10,44,42.5,40.8,+1.7,+0.06,D D L W L,,Ollie Watkins - 12,Emiliano Martínez,
12,Wolves,31,10,8,13,31,41,-10,38,32.9,36.0,-3.1,-0.10,L D L L W,,Rúben Neves Pedro Neto - 5,Rui Patrício,
13,Crystal Palace,31,10,8,13,33,52,-19,38,24.2,47.8,-23.6,-0.76,D L W D L,125,Wilfried Zaha - 9,Vicente Guaita,
14,Southampton,31,10,6,15,39,56,-17,36,33.3,43.1,-9.8,-0.32,W L L W L,133,Danny Ings - 9,Alex McCarthy,
15,Brighton,31,7,12,12,33,38,-5,33,43.0,30.7,+12.3,+0.40,L W W L D,125,Neal Maupay - 8,Robert Sánchez,
16,Burnley,31,8,9,14,25,42,-17,33,30.7,45.9,-15.2,-0.49,D D W L L,,Chris Wood - 7,Nick Pope,
17,Newcastle Utd,31,8,8,15,32,51,-19,32,30.3,43.5,-13.2,-0.43,D D L D W,,Callum Wilson - 10,Karl Darlow,
18,Fulham,32,5,11,16,24,42,-18,26,35.4,42.0,-6.5,-0.20,W L L L L,118,Bobby Reid - 5,Alphonse Areola,
19,West Brom,31,5,9,17,28,59,-31,24,25.6,52.7,-27.1,-0.87,L D L W W,,Matheus Pereira - 8,Sam Johnstone,
20,Sheffield Utd,31,4,2,25,17,55,-38,14,26.0,50.9,-25.0,-0.81,W L L L L,,David McGoldrick - 6,Aaron Ramsdale,